,rocket,success,flight_number,date_utc,flight,gridfins,legs,reused_x,landing_attempt,landing_success,landing_type,landpad,launchpad_name,launch_latitude,launch_longitude,launch_attempts,launch_successes,block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,serial,PayloadType,PayloadMass,mass_lbs,orbit,landpad_name,landpad_type,landpad_latitude,landpad_longitude,landing_attempts,landing_successes
111,Falcon 9,True,176,2022-07-24T00:00:00.000Z,8,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,8,0,0,9,9,B1062,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
112,Falcon 9,True,180,2022-08-19T19:24:00.000Z,9,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,8,0,0,9,9,B1062,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
113,Falcon 9,True,135,2021-09-16T00:02:00.000Z,3,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,8,0,0,9,9,B1062,Crew Dragon,,,LEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
114,Falcon 9,True,144,2022-01-06T21:49:00.000Z,4,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,8,0,0,9,9,B1062,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
115,Falcon 9,True,156,2022-04-08T15:17:00.000Z,5,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,8,0,0,9,9,B1062,Dragon 2.0,,,ISS,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
116,Falcon 9,True,128,2021-05-26T18:59:00.000Z,2,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,6,1,1,6,6,B1063,Satellite,15600.0,34392.0,VLEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
117,Falcon 9,True,108,2020-11-21T17:17:00.000Z,1,True,True,False,True,True,RTLS,5e9e3032383ecb554034e7c9,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,6,1,1,6,6,B1063,Satellite,1440.0,3174.657,PO,LZ-4,RTLS,34.632989,-120.615167,6.0,6.0
118,Falcon 9,True,138,2021-11-24T06:20:00.000Z,2,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,6,1,1,6,6,B1063,Satellite,670.0,1477.097,TLI,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
119,Falcon 9,True,151,2022-02-25T17:12:00.000Z,4,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,6,1,1,6,6,B1063,Satellite,13260.0,29233.0,VLEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
120,Falcon 9,True,162,2022-05-13T22:07:00.000Z,5,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,VAFB SLC 4E,34.632093,-120.610829,28,27,5.0,6,1,1,6,6,B1063,Satellite,13260.0,29233.0,VLEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
